"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
-7.27561406,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.95394095,0.64190033,0.64190376,0.25914735,0.25914873,0.00000000,0.00000000,0.00000000,0.00000000,0.43601826,0.43601424,1.00000000,1.00000000,4504.71343506,4504.67185200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.49015674,0.08507381,0.08504861,0.03099140,0.03098221,0.25903320,0.25903320,0.37402344,0.37402344,0.05312284,0.05310633,1.54687500,1.54687500,661.65160846,661.44595320,67.11716200,67.11685222,0.00013500,0.00013500,0.00017950,0.00017950
5.63265049,0.52853908,0.52855243,0.18766976,0.18767450,0.29003906,0.29003906,0.41577148,0.41577148,0.32316649,0.32316994,1.63085938,1.63085938,4217.34039477,4217.38542421,71.87743070,71.87571082,0.00055635,0.00055635,0.00079013,0.00079012
5.63290028,0.09931011,0.09929309,0.03526074,0.03525470,0.47778320,0.47778320,0.66503906,0.66503906,0.06071932,0.06070802,2.25390625,2.25390625,792.45439986,792.30703886,96.86952791,96.86848419,0.02274163,0.02274163,0.04771653,0.04771626
5.66968074,0.48748857,0.48750299,0.17196332,0.17196841,0.51318359,0.51318359,0.71191406,0.71191406,0.29646660,0.29647104,2.39453125,2.39453125,3915.36082922,3915.41952678,100.87695395,100.87522128,0.03212268,0.03212268,0.07190299,0.07190230
5.67624369,0.06825679,0.06827668,0.02404999,0.02405699,0.68505859,0.68505859,0.93945312,0.93945312,0.04147099,0.04148247,3.22265625,3.22265625,548.85251296,549.00441273,118.70771107,118.70648590,0.10621548,0.10621548,0.30773517,0.30773306
6.61391142,0.17457625,0.17457241,0.05279062,0.05278946,0.70898438,0.70898438,0.97119141,0.97119141,0.09351234,0.09350892,3.35742188,3.35742188,1635.65718445,1635.59733379,120.99740981,120.99683553,0.12030557,0.12030557,0.35899982,0.35899867
6.65032765,0.23161488,0.23159849,0.06965518,0.06965025,0.76171875,0.76171875,1.03613281,1.03613281,0.12350353,0.12349299,3.68750000,3.68750000,2182.01761017,2181.83139649,127.57754648,127.57676725,0.15567144,0.15567144,0.49566821,0.49566611
7.24327655,0.09609827,0.09614676,0.02653447,0.02654786,0.83154297,0.83154297,1.12109375,1.12109375,0.04774440,0.04776780,4.16796875,4.16796875,986.05097389,986.53420697,135.86039885,135.85898181,0.21061589,0.21061589,0.72291644,0.72291102
7.29593580,0.08502205,0.08503587,0.02330669,0.02331048,0.85791016,0.85791016,1.15234375,1.15332031,0.04198845,0.04199467,4.37500000,4.37500000,878.74185649,878.87192785,139.44209891,139.44245101,0.23498535,0.23498535,0.82766965,0.82767117
7.44873936,0.10378837,0.10377638,0.02786736,0.02786415,0.88134766,0.88134766,1.18066406,1.18066406,0.05038243,0.05037587,4.56250000,4.56250000,1095.16664161,1095.02423069,142.55820147,142.55900208,0.25781949,0.25781949,0.92820999,0.92821382
7.46201528,0.10189076,0.10186441,0.02730918,0.02730212,0.90917969,0.90917969,1.21289062,1.21289062,0.04938822,0.04937473,4.79687500,4.79687500,1077.05950129,1076.76526402,146.34892363,146.34921696,0.28619051,0.28619051,1.05597839,1.05597996
14.83610076,0.88031552,0.88027160,0.11867209,0.11866617,0.93652344,0.93652344,1.24511719,1.24511719,0.23969666,0.23968121,5.03906250,5.03906250,18501.49744025,18500.30456339,149.98355559,149.98286091,0.31576157,0.31576157,1.19157836,1.19157423
16.38517204,0.72233392,0.72238726,0.08816922,0.08817573,1.05566406,1.05566406,1.36914062,1.36914062,0.18077901,0.18078973,6.40625000,6.40625000,16766.32031275,16767.31398806,202.47608350,202.47262316,0.48419635,0.48419635,2.26732987,2.26729887
17.62877400,2.56391139,2.56381838,0.29087801,0.29086746,1.14355469,1.14355469,1.45996094,1.45996094,0.60294971,0.60291905,7.66796875,7.66796875,64028.57964108,64025.32359239,240.33910356,240.33825563,0.64391156,0.64391156,3.36831553,3.36830574
18.01948621,0.45701354,0.45700075,0.05072437,0.05072295,1.43457031,1.43457031,1.75976562,1.75976562,0.10548651,0.10548203,14.02343750,14.02343750,11665.95271540,11665.45635037,348.98633833,348.98108933,1.53352817,1.53352817,9.18933633,9.18921838
18.18426684,0.58175627,0.58181713,0.06398457,0.06399127,1.48535156,1.48535156,1.81152344,1.81152344,0.13324158,0.13325358,15.57812500,15.57812500,14985.99608716,14987.34532744,365.31824080,365.31254709,1.76217397,1.76217397,10.55240521,10.55226462
18.50357946,0.44630752,0.44638029,0.04824013,0.04824799,1.54882812,1.54882812,1.87695312,1.87695312,0.10071356,0.10072851,17.79687500,17.79687500,11698.72944044,11700.46656896,385.28354902,385.27990136,2.09281286,2.09281286,12.41502729,12.41492678
18.63414041,0.44735200,0.44740866,0.04801423,0.04802032,1.59765625,1.59765625,1.92675781,1.92675781,0.10034577,0.10035701,19.70312500,19.70312500,11808.84677955,11810.17049137,400.17763879,400.17629735,2.38111496,2.38111496,13.96341826,13.96337825
19.11707751,0.46560164,0.46557258,0.04871055,0.04870751,1.64550781,1.64550781,1.97656250,1.97656250,0.10218427,0.10217641,21.76562500,21.76562500,12609.11921345,12608.14837135,414.66973529,414.67003684,2.70121892,2.70121892,15.61942457,15.61943428
19.49276104,1.96765779,1.96759900,0.20188600,0.20187997,1.69433594,1.69433594,2.02539062,2.02539062,0.42472173,0.42470285,24.14062500,24.14062500,54333.99927091,54331.58425318,429.60459562,429.60375676,3.06472778,3.06472778,17.38540937,17.38538041
19.68572194,0.58975657,0.58982068,0.05991719,0.05992370,1.89550781,1.89550781,2.23242188,2.23242188,0.12623349,0.12624538,36.87500000,36.87500000,16446.47690712,16448.02500215,488.76794888,488.76474103,5.11652629,5.11652629,26.16965097,26.16950599
20.25908067,0.22966044,0.22971928,0.02267235,0.02267815,1.95605469,1.95605469,2.29492188,2.29492188,0.04796625,0.04797784,41.87500000,41.87500000,6591.05085765,6592.64342561,505.31236355,505.31079256,5.92956543,5.92956543,29.14566615,29.14559004
20.30454632,0.98734512,0.98734715,0.09725360,0.09725380,1.97851562,1.97851562,2.31640625,2.31835938,0.20581949,0.20581691,43.87500000,43.87500000,28399.52118389,28399.16568117,511.79257089,511.79257566,6.26186371,6.26186371,30.33619448,30.33619472
20.68882746,0.41681559,0.41674519,0.04029379,0.04028698,2.07617188,2.07617188,2.41601562,2.41601562,0.08550676,0.08549107,53.96875000,53.96875000,12215.98729864,12213.74611070,538.82386435,538.82353900,7.96047846,7.96047846,35.85971279,35.85969482
20.80380714,0.79286791,0.79299214,0.07622335,0.07623529,2.11523438,2.11523438,2.45703125,2.45703125,0.16188219,0.16190519,58.81250000,58.81250000,23366.43223437,23369.75260750,550.04285660,550.04050059,8.78861109,8.78861109,38.32037952,38.32024390
21.29032191,0.13436198,0.13432201,0.01262188,0.01261813,2.19140625,2.19140625,2.53515625,2.53515625,0.02689592,0.02688753,69.00000000,69.00000000,4052.35388650,4051.08926358,570.88840970,570.88904780,10.53558350,10.53558350,43.21729828,43.21733783
21.74803162,1.44032266,1.44024436,0.13245545,0.13244825,2.20507812,2.20507812,2.54882812,2.54882812,0.28311523,0.28309572,70.93750000,70.93750000,44373.99137149,44370.93241303,574.42660995,574.42614335,10.87471644,10.87471644,44.13115767,44.13112836
22.33801434,0.45769666,0.45778139,0.04097917,0.04098676,2.33789062,2.33789062,2.68359375,2.68359375,0.08792772,0.08794272,94.31250000,94.31250000,14483.41762040,14485.88778340,611.83324655,611.83030865,14.98577118,14.98577118,54.06812751,54.06791951
22.34634642,0.37858926,0.37856816,0.03388377,0.03388188,2.37890625,2.37890625,2.72460938,2.72460938,0.07270724,0.07270212,102.81250000,102.81250000,11984.60064128,11983.75804545,623.55700558,623.55610362,16.46188100,16.46188100,57.26887715,57.26881121
22.60364423,0.95914966,0.95918632,0.08486682,0.08487006,2.41210938,2.41210938,2.75976562,2.75976562,0.18240458,0.18240890,110.75000000,110.75000000,30712.38811407,30713.11420062,633.09394236,633.09238852,17.87925720,17.87925720,60.14444516,60.14432842
22.72415316,0.58955240,0.58948180,0.05188773,0.05188152,2.49609375,2.49609375,2.84570312,2.84570312,0.11160735,0.11159236,132.50000000,132.50000000,18978.36796556,18975.81879149,656.90206878,656.90112392,21.80836995,21.80836995,67.76339679,67.76332093
25.58252758,0.16780033,0.16769778,0.01311835,0.01311034,2.54882812,2.54882812,2.89843750,2.89843750,0.02869475,0.02867680,148.37500000,148.37500000,6081.14019707,6077.33505920,671.19199632,671.18917259,24.67784882,24.67784882,72.79497338,72.79473771
25.94600243,0.16800943,0.16791850,0.01295070,0.01294369,2.56250000,2.56250000,2.91210938,2.91210938,0.02838421,0.02836844,152.50000000,152.50000000,6175.22593770,6171.79374315,675.70691585,675.70129529,25.47251383,25.47251383,74.37048972,74.37001467
26.77247618,0.37278161,0.37274419,0.02784812,0.02784533,2.57421875,2.57421875,2.92578125,2.92578125,0.06130363,0.06129658,157.37500000,157.37500000,14138.12317371,14136.49827161,680.26102495,680.25291929,26.33482615,26.33482615,75.72120857,75.72051834
26.91842092,0.28015150,0.28011155,0.02081485,0.02081189,2.60351562,2.60351562,2.95312500,2.95312500,0.04585570,0.04584849,166.87500000,166.87500000,10682.95219466,10681.27307044,690.57453272,690.56537161,28.06034088,28.06034088,78.75164260,78.75084741
27.51918348,0.31817067,0.31819123,0.02312355,0.02312505,2.62304688,2.62304688,2.97460938,2.97460938,0.05109879,0.05110134,174.87500000,174.87500000,12403.50525368,12404.12602575,698.26652321,698.25626065,29.54786936,29.54786936,81.25021398,81.24930941
