"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
0.00100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.08034057,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.15968114,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.23902170,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.31836227,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.39770284,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.47704341,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.55638398,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.63572455,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000042,0.00000042,0.00000000,0.00000000,0.00000000,0.00000000
0.71506511,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000721,0.00000721,0.00000000,0.00000000,0.00000000,0.00000000
0.79440568,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00005955,0.00005955,0.00000000,0.00000000,0.00000000,0.00000000
0.87374625,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00030899,0.00030899,0.00000000,0.00000000,0.00000000,0.00000000
0.95308682,0.00000001,0.00000001,0.00000000,0.00000000,1.00000000,1.00000000,0.00116825,0.00116825,0.00000000,0.00000000,0.00000000,0.00000000
1.03242739,0.00000012,0.00000012,0.00000002,0.00000002,1.00000000,1.00000000,0.00351524,0.00351524,0.00000000,0.00000000,0.00000000,0.00000000
1.11176796,0.00000066,0.00000066,0.00000012,0.00000012,1.00000000,1.00000000,0.00892639,0.00892639,0.00000000,0.00000000,0.00000000,0.00000000
