,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
0,0.00100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.11298212,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.22496423,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3,0.33694635,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,0.44892846,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5,0.56091058,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
6,0.67289269,0.00000049,0.00000049,0.00000016,0.00000016,1.00000000,1.00000000,0.00688934,0.00688934,0.00000000,0.00000000,0.00000000,0.00000000
7,0.78487481,0.00000664,0.00000664,0.00000206,0.00000206,1.00000000,1.00000000,0.02825928,0.02825928,0.00000000,0.00000000,0.00000000,0.00000000
8,0.89685692,0.00004145,0.00004145,0.00001241,0.00001241,1.00000000,1.00000000,0.07843018,0.07843018,0.00000000,0.00000000,0.00000000,0.00000000
9,1.00883904,0.00019878,0.00019878,0.00005654,0.00005654,1.00000000,1.00000000,0.18713379,0.18713379,0.00000000,0.00000000,0.00000000,0.00000000
10,1.12082115,0.00075800,0.00075800,0.00020800,0.00020800,1.00000000,1.00000000,0.39672852,0.39672852,0.00000000,0.00000000,0.00000000,0.00000000
11,1.23280327,0.00231756,0.00231756,0.00062904,0.00062904,1.00097656,1.00097656,0.75439453,0.75439453,0.00000000,0.00000000,0.00000000,0.00000000
12,1.34478538,0.00570858,0.00570858,0.00157976,0.00157976,1.00195312,1.00195312,1.29394531,1.29394531,0.00000000,0.00000000,0.00000000,0.00000000
13,1.45676750,0.01138966,0.01138966,0.00333081,0.00333081,1.00390625,1.00390625,2.01562500,2.01562500,0.00000000,0.00000000,0.00000000,0.00000000
14,1.56874961,0.01853508,0.01853508,0.00597699,0.00597699,1.00683594,1.00683594,2.87304688,2.87304688,0.00000000,0.00000000,0.00000000,0.00000000
15,1.68073173,0.02480884,0.02480884,0.00928287,0.00928287,1.01074219,1.01074219,3.77539062,3.77539062,0.00000000,0.00000000,0.00000000,0.00000000
16,1.79271384,0.02756507,0.02756507,0.01272658,0.01272658,1.01562500,1.01562500,4.62500000,4.62500000,0.00000000,0.00000000,0.00000000,0.00000000
17,1.90469596,0.02568738,0.02568738,0.01574704,0.01574704,1.01953125,1.01953125,5.33203125,5.33203125,0.00000000,0.00000000,0.00000000,0.00000000
18,2.01667807,0.02046863,0.02046863,0.01802020,0.01802020,1.02246094,1.02246094,5.86328125,5.86328125,0.00000000,0.00000000,0.00000000,0.00000000
19,2.12866019,0.01490523,0.01490523,0.01958844,0.01958844,1.02441406,1.02441406,6.23828125,6.23828125,0.00000000,0.00000000,0.00000000,0.00000000
20,2.24064230,0.01288376,0.01288376,0.02087624,0.02087624,1.02636719,1.02636719,6.56640625,6.56640625,0.00000000,0.00000000,0.00000000,0.00000000
21,2.35262442,0.01974971,0.01974971,0.02275636,0.02275636,1.02832031,1.02832031,7.05468750,7.05468750,0.00000000,0.00000000,0.00000000,0.00000000
22,2.46460653,0.04392185,0.04392185,0.02674764,0.02674764,1.03417969,1.03417969,8.08593750,8.08593750,0.00000000,0.00000000,0.00000000,0.00000000
23,2.57658865,0.09504111,0.09504111,0.03500887,0.03500887,1.04589844,1.04589844,10.03125000,10.03125000,0.00000000,0.00000000,0.00000000,0.00000000
24,2.68857076,0.17351731,0.17351731,0.04946327,0.04946327,1.06640625,1.06640625,12.95312500,12.95312500,0.00000000,0.00000000,0.00000000,0.00000000
25,2.80055288,0.25764952,0.25764952,0.07006788,0.07006788,1.09667969,1.09667969,16.48437500,16.48437500,0.00000000,0.00000000,0.00000000,0.00000000
26,2.91253499,0.30843617,0.30843617,0.09378558,0.09378558,1.13378906,1.13378906,20.03125000,20.03125000,0.00000000,0.00000000,0.00000000,0.00000000
27,3.02451711,0.29918851,0.29918851,0.11594037,0.11594037,1.16894531,1.16894531,23.04687500,23.04687500,0.00000000,0.00000000,0.00000000,0.00000000
28,3.13649922,0.24135238,0.24135238,0.13317433,0.13317433,1.19726562,1.19726562,25.31250000,25.31250000,0.00000000,0.00000000,0.00000000,0.00000000
29,3.24848134,0.17601154,0.17601154,0.14530933,0.14530933,1.21777344,1.21777344,26.89062500,26.89062500,0.00000000,0.00000000,0.00000000,0.00000000
30,3.36046345,0.14320981,0.14320981,0.15485381,0.15485381,1.23437500,1.23437500,28.14062500,28.14062500,0.00000000,0.00000000,0.00000000,0.00000000
31,3.47244557,0.16281420,0.16281420,0.16535492,0.16535492,1.25292969,1.25292969,29.56250000,29.56250000,0.00000000,0.00000000,0.00000000,0.00000000
32,3.58442768,0.23408307,0.23408307,0.17998102,0.17998102,1.28027344,1.28027344,31.53125000,31.53125000,0.00000002,0.00000002,0.00000002,0.00000002
33,3.69640980,0.34137669,0.34137669,0.20066492,0.20066492,1.31933594,1.31933594,34.28125000,34.28125000,0.00000078,0.00000078,0.00000088,0.00000088
34,3.80839192,0.46402770,0.46402770,0.22795351,0.22795351,1.37207031,1.37207031,37.81250000,37.81250000,0.00001533,0.00001533,0.00001782,0.00001782
35,3.92037403,0.59151378,0.59151378,0.26174566,0.26174566,1.44140625,1.44140625,42.00000000,42.00000000,0.00014565,0.00014565,0.00017857,0.00017857
36,4.03235615,0.72402543,0.72402543,0.30195934,0.30195934,1.52929688,1.52929688,46.75000000,46.75000000,0.00078721,0.00078721,0.00103486,0.00103486
37,4.14433826,0.84437266,0.84437266,0.34759009,0.34759009,1.63671875,1.63671875,51.84375000,51.84375000,0.00276609,0.00276609,0.00395748,0.00395748
38,4.25632038,0.89799271,0.89799271,0.39484176,0.39484176,1.75488281,1.75488281,56.90625000,56.90625000,0.00683436,0.00683436,0.01071261,0.01071261
39,4.36830249,0.82919759,0.82919759,0.43735498,0.43735498,1.87011719,1.87011719,61.34375000,61.34375000,0.01259324,0.01259324,0.02143695,0.02143695
40,4.48028461,0.64508351,0.64508351,0.46960196,0.46960196,1.96289062,1.96289062,64.62500000,64.62500000,0.01837560,0.01837560,0.03327530,0.03327530
41,4.59226672,0.42370647,0.42370647,0.49026605,0.49026605,2.02539062,2.02539062,66.75000000,66.75000000,0.02274238,0.02274238,0.04282948,0.04282948
42,4.70424884,0.25136251,0.25136251,0.50223315,0.50223315,2.06250000,2.06250000,68.06250000,68.06250000,0.02551626,0.02551626,0.04916796,0.04916796
43,4.81623095,0.16526450,0.16526450,0.50991827,0.50991827,2.08593750,2.08593750,68.87500000,68.87500000,0.02737722,0.02737722,0.05354587,0.05354587
44,4.92821307,0.15754783,0.15754783,0.51707810,0.51707810,2.10937500,2.10937500,69.68750000,69.68750000,0.02919360,0.02919360,0.05787146,0.05787146
45,5.04019518,0.21569115,0.21569115,0.52666247,0.52666247,2.14062500,2.14062500,70.81250000,70.81250000,0.03170562,0.03170562,0.06405363,0.06405363
46,5.15217730,0.34533107,0.34533107,0.54167396,0.54167396,2.18945312,2.18945312,72.56250000,72.56250000,0.03587422,0.03587422,0.07461851,0.07461851
47,5.26415941,0.55216147,0.55216147,0.56516570,0.56516570,2.27148438,2.27148438,75.43750000,75.43750000,0.04300353,0.04300353,0.09356125,0.09356125
48,5.37614153,0.80464277,0.80464277,0.59868628,0.59868628,2.39257812,2.39257812,79.43750000,79.43750000,0.05434399,0.05434399,0.12576305,0.12576305
49,5.48812364,1.02703716,1.02703716,0.64059854,0.64059854,2.55273438,2.55273438,84.37500000,84.37500000,0.07052773,0.07052773,0.17584091,0.17584091
50,5.60010576,1.14507972,1.14507972,0.68639350,0.68639350,2.74218750,2.74218750,89.68750000,89.68750000,0.09085242,0.09085242,0.24428385,0.24428385
51,5.71208787,1.13754986,1.13754986,0.73099548,0.73099548,2.94140625,2.94140625,94.75000000,94.75000000,0.11335638,0.11335638,0.32613948,0.32613948
52,5.82406999,1.03357308,1.03357308,0.77074146,0.77074146,3.13085938,3.13085938,99.25000000,99.25000000,0.13573197,0.13573197,0.41317898,0.41317898
53,5.93605210,0.87121289,0.87121289,0.80361193,0.80361193,3.29882812,3.29882812,102.93750000,102.93750000,0.15595798,0.15595798,0.49570140,0.49570140
54,6.04803422,0.67801256,0.67801256,0.82871932,0.82871932,3.43164062,3.43164062,105.75000000,105.75000000,0.17251854,0.17251854,0.56594389,0.56594389
55,6.16001633,0.48296241,0.48296241,0.84627873,0.84627873,3.52929688,3.52929688,107.75000000,107.75000000,0.18477254,0.18477254,0.61919298,0.61919298
56,6.27199845,0.32007626,0.32007626,0.85770822,0.85770822,3.59375000,3.59375000,109.06250000,109.06250000,0.19289318,0.19289318,0.65518311,0.65518311
57,6.38398056,0.21140409,0.21140409,0.86512476,0.86512476,3.63671875,3.63671875,110.00000000,110.00000000,0.19830024,0.19830024,0.67984237,0.67984237
58,6.49596268,0.15639721,0.15639721,0.87051696,0.87051696,3.66796875,3.66796875,110.62500000,110.62500000,0.20238788,0.20238788,0.69810047,0.69810047
59,6.60794479,0.14179296,0.14179296,0.87532276,0.87532276,3.69726562,3.69726562,111.25000000,111.25000000,0.20599785,0.20599785,0.71475698,0.71475698
60,6.71992691,0.15631361,0.15631361,0.88053244,0.88053244,3.72851562,3.72851562,111.93750000,111.93750000,0.21007158,0.21007158,0.73335596,0.73335596
61,6.83190902,0.19422594,0.19422594,0.88689953,0.88689953,3.76562500,3.76562500,112.75000000,112.75000000,0.21481317,0.21481317,0.75580118,0.75580118
62,6.94389114,0.24920673,0.24920673,0.89493734,0.89493734,3.81640625,3.81640625,113.87500000,113.87500000,0.22127512,0.22127512,0.78629524,0.78629524
63,7.05587325,0.30988039,0.30988039,0.90477341,0.90477341,3.87695312,3.87695312,115.25000000,115.25000000,0.22916237,0.22916237,0.82427002,0.82427002
