"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
0.00100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.11456400,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.22812801,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.34169201,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.45525602,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.56882002,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000149,0.00000149,0.00000000,0.00000000,0.00000000,0.00000000
0.68238403,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00020242,0.00020242,0.00000000,0.00000000,0.00000000,0.00000000
0.79594803,0.00000013,0.00000013,0.00000004,0.00000004,1.00000000,1.00000000,0.00456238,0.00456238,0.00000000,0.00000000,0.00000000,0.00000000
0.90951204,0.00000793,0.00000792,0.00000202,0.00000202,1.00000000,1.00000000,0.03765869,0.03765869,0.00000000,0.00000000,0.00000000,0.00000000
1.02307604,0.00013762,0.00013755,0.00003257,0.00003255,1.00000000,1.00000000,0.16943359,0.16943359,0.00000000,0.00000000,0.00000000,0.00000000
1.13664005,0.00109573,0.00109522,0.00025152,0.00025140,1.00000000,1.00000000,0.51953125,0.51953125,0.00000000,0.00000000,0.00000000,0.00000000
1.25020405,0.00522463,0.00522300,0.00120070,0.00120028,1.00195312,1.00195312,1.23925781,1.23925781,0.00000000,0.00000000,0.00000000,0.00000000
1.36376806,0.01728293,0.01728103,0.00407907,0.00407834,1.00585938,1.00585938,2.47070312,2.47070312,0.00000000,0.00000000,0.00000000,0.00000000
1.47733206,0.04204225,0.04204563,0.01054273,0.01054252,1.01660156,1.01660156,4.25781250,4.25781250,0.00000000,0.00000000,0.00000000,0.00000000
1.59089607,0.07639354,0.07641030,0.02144924,0.02145142,1.03417969,1.03417969,6.45703125,6.45703125,0.00000000,0.00000000,0.00000000,0.00000000
1.70446007,0.10494453,0.10497601,0.03543363,0.03544001,1.05859375,1.05859375,8.74218750,8.74218750,0.00000000,0.00000000,0.00000000,0.00000000
1.81802408,0.11208797,0.11212421,0.04943692,0.04944782,1.08300781,1.08300781,10.76562500,10.76562500,0.00000000,0.00000000,0.00000000,0.00000000
1.93158808,0.09860331,0.09863164,0.06103130,0.06104554,1.10449219,1.10449219,12.35937500,12.35937500,0.00000000,0.00000000,0.00000000,0.00000000
2.04515209,0.07906523,0.07908065,0.06981204,0.06982798,1.12109375,1.12109375,13.57031250,13.57031250,0.00000000,0.00000000,0.00000000,0.00000000
2.15871609,0.06591468,0.06592015,0.07674721,0.07676373,1.13476562,1.13476562,14.55468750,14.55468750,0.00000000,0.00000000,0.00000000,0.00000000
2.27228010,0.06211845,0.06211893,0.08295632,0.08297289,1.14648438,1.14648438,15.46093750,15.46093750,0.00000000,0.00000000,0.00000000,0.00000000
2.38584410,0.06454786,0.06454650,0.08910116,0.08911760,1.15917969,1.15917969,16.40625000,16.40625000,0.00000000,0.00000000,0.00000000,0.00000000
2.49940811,0.06862250,0.06862057,0.09533707,0.09535334,1.17187500,1.17187500,17.39062500,17.39062500,0.00000000,0.00000000,0.00000000,0.00000000
2.61297211,0.07147158,0.07146946,0.10154961,0.10156570,1.18554688,1.18554688,18.39062500,18.39062500,0.00000000,0.00000000,0.00000000,0.00000000
2.72653612,0.07361913,0.07361695,0.10768229,0.10769819,1.19824219,1.19824219,19.42187500,19.42187500,0.00000000,0.00000000,0.00000000,0.00000000
2.84010012,0.07712954,0.07712725,0.11385048,0.11386620,1.21191406,1.21191406,20.48437500,20.48437500,0.00000000,0.00000000,0.00000000,0.00000000
2.95366413,0.08281065,0.08280819,0.12021837,0.12023390,1.22656250,1.22656250,21.60937500,21.60937500,0.00000000,0.00000000,0.00000000,0.00000000
3.06722813,0.08982752,0.08982486,0.12687010,0.12688543,1.24121094,1.24121094,22.81250000,22.81250000,0.00000000,0.00000000,0.00000000,0.00000000
3.18079214,0.09749263,0.09748974,0.13383166,0.13384679,1.25781250,1.25781250,24.09375000,24.09375000,0.00000000,0.00000000,0.00000000,0.00000000
3.29435614,0.10615649,0.10615334,0.14115058,0.14116548,1.27539062,1.27539062,25.46875000,25.46875000,0.00000000,0.00000000,0.00000000,0.00000000
3.40792015,0.11744686,0.11744338,0.14897807,0.14899275,1.29394531,1.29394531,26.93750000,26.93750000,0.00000000,0.00000000,0.00000000,0.00000000
3.52148415,0.13568028,0.13567626,0.15772915,0.15774357,1.31542969,1.31542969,28.60937500,28.60937500,0.00000000,0.00000000,0.00000000,0.00000000
3.63504816,0.16987990,0.16987487,0.16834372,0.16835783,1.34277344,1.34277344,30.62500000,30.62500000,0.00000000,0.00000000,0.00000000,0.00000000
3.74861216,0.23126802,0.23126118,0.18235622,0.18236992,1.37988281,1.37988281,33.25000000,33.25000000,0.00000004,0.00000004,0.00000004,0.00000004
