"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
0.00100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.06739700,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.13379400,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.20019100,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.26658800,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.33298500,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.39938200,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.46577900,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.53217600,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.59857300,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.66497000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.73136700,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.79776400,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.86416100,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00004441,0.00004441,0.00000000,0.00000000,0.00000000,0.00000000
0.93055800,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00018644,0.00018644,0.00000000,0.00000000,0.00000000,0.00000000
0.99695500,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00059032,0.00059032,0.00000000,0.00000000,0.00000000,0.00000000
1.06335200,0.00000001,0.00000001,0.00000000,0.00000000,1.00000000,1.00000000,0.00158119,0.00158119,0.00000000,0.00000000,0.00000000,0.00000000
1.12974900,0.00000006,0.00000006,0.00000001,0.00000001,1.00000000,1.00000000,0.00371170,0.00371170,0.00000000,0.00000000,0.00000000,0.00000000
1.19614600,0.00000023,0.00000023,0.00000003,0.00000003,1.00000000,1.00000000,0.00791168,0.00791168,0.00000000,0.00000000,0.00000000,0.00000000
1.26254300,0.00000079,0.00000079,0.00000012,0.00000012,1.00000000,1.00000000,0.01557922,0.01557922,0.00000000,0.00000000,0.00000000,0.00000000
1.32894000,0.00000243,0.00000243,0.00000036,0.00000036,1.00000000,1.00000000,0.02870178,0.02870178,0.00000000,0.00000000,0.00000000,0.00000000
1.39533700,0.00000662,0.00000662,0.00000099,0.00000099,1.00000000,1.00000000,0.04989624,0.04989624,0.00000000,0.00000000,0.00000000,0.00000000
