,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
0,0.00100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.10194431,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.20288861,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3,0.30383292,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,0.40477722,0.00000015,0.00000015,0.00000007,0.00000007,1.00000000,1.00000000,0.00531387,0.00531387,0.00000000,0.00000000,0.00000000,0.00000000
5,0.50572153,0.00000202,0.00000202,0.00000088,0.00000088,1.00000000,1.00000000,0.02246094,0.02246094,0.00000000,0.00000000,0.00000000,0.00000000
6,0.60666583,0.00000613,0.00000613,0.00000292,0.00000292,1.00000000,1.00000000,0.04736328,0.04736328,0.00000000,0.00000000,0.00000000,0.00000000
7,0.70761014,0.00001477,0.00001477,0.00000713,0.00000713,1.00000000,1.00000000,0.08441162,0.08441162,0.00000000,0.00000000,0.00000000,0.00000000
8,0.80855444,0.00003127,0.00003127,0.00001494,0.00001494,1.00000000,1.00000000,0.13769531,0.13769531,0.00000000,0.00000000,0.00000000,0.00000000
9,0.90949875,0.00006225,0.00006225,0.00002876,0.00002876,1.00000000,1.00000000,0.21313477,0.21313477,0.00000000,0.00000000,0.00000000,0.00000000
10,1.01044306,0.00011900,0.00011900,0.00005254,0.00005254,1.00000000,1.00000000,0.31884766,0.31884766,0.00000000,0.00000000,0.00000000,0.00000000
11,1.11138736,0.00021885,0.00021885,0.00009229,0.00009229,1.00000000,1.00000000,0.46411133,0.46411133,0.00000000,0.00000000,0.00000000,0.00000000
12,1.21233167,0.00038719,0.00038719,0.00015677,0.00015677,1.00097656,1.00097656,0.65917969,0.65917969,0.00000000,0.00000000,0.00000000,0.00000000
13,1.31327597,0.00065936,0.00065936,0.00025813,0.00025813,1.00097656,1.00097656,0.91601562,0.91601562,0.00000000,0.00000000,0.00000000,0.00000000
14,1.41422028,0.00108117,0.00108117,0.00041248,0.00041248,1.00195312,1.00195312,1.24707031,1.24707031,0.00000000,0.00000000,0.00000000,0.00000000
15,1.51516458,0.00170758,0.00170758,0.00064000,0.00064000,1.00292969,1.00292969,1.66210938,1.66210938,0.00000000,0.00000000,0.00000000,0.00000000
16,1.61610889,0.00259844,0.00259844,0.00096461,0.00096461,1.00390625,1.00390625,2.17382812,2.17382812,0.00000000,0.00000000,0.00000000,0.00000000
17,1.71705319,0.00381108,0.00381108,0.00141271,0.00141271,1.00585938,1.00585938,2.79101562,2.79101562,0.00000000,0.00000000,0.00000000,0.00000000
18,1.81799750,0.00538907,0.00538907,0.00201116,0.00201116,1.00878906,1.00878906,3.51562500,3.51562500,0.00000000,0.00000000,0.00000000,0.00000000
19,1.91894181,0.00735757,0.00735757,0.00278524,0.00278524,1.01269531,1.01269531,4.35546875,4.35546875,0.00000000,0.00000000,0.00000000,0.00000000
20,2.01988611,0.00969258,0.00969258,0.00375402,0.00375402,1.01660156,1.01660156,5.30078125,5.30078125,0.00000000,0.00000000,0.00000000,0.00000000
21,2.12083042,0.01233673,0.01233673,0.00492839,0.00492839,1.02246094,1.02246094,6.35156250,6.35156250,0.00000000,0.00000000,0.00000000,0.00000000
22,2.22177472,0.01518868,0.01518868,0.00630856,0.00630856,1.02929688,1.02929688,7.49218750,7.49218750,0.00000000,0.00000000,0.00000000,0.00000000
23,2.32271903,0.01811506,0.01811506,0.00788310,0.00788310,1.03710938,1.03710938,8.70312500,8.70312500,0.00000000,0.00000000,0.00000000,0.00000000
24,2.42366333,0.02096965,0.02096965,0.00962985,0.00962985,1.04589844,1.04589844,9.97656250,9.97656250,0.00000000,0.00000000,0.00000000,0.00000000
25,2.52460764,0.02361895,0.02361895,0.01151862,0.01151862,1.05468750,1.05468750,11.28906250,11.28906250,0.00000000,0.00000000,0.00000000,0.00000000
26,2.62555194,0.02596797,0.02596797,0.01351540,0.01351540,1.06542969,1.06542969,12.61718750,12.61718750,0.00000000,0.00000000,0.00000000,0.00000000
27,2.72649625,0.02799143,0.02799143,0.01558808,0.01558808,1.07617188,1.07617188,13.96093750,13.96093750,0.00000000,0.00000000,0.00000000,0.00000000
28,2.82744055,0.02972903,0.02972903,0.01771083,0.01771083,1.08789062,1.08789062,15.30468750,15.30468750,0.00000000,0.00000000,0.00000000,0.00000000
29,2.92838486,0.03130254,0.03130254,0.01986888,0.01986888,1.09960938,1.09960938,16.64062500,16.64062500,0.00000000,0.00000000,0.00000000,0.00000000
30,3.02932917,0.03288604,0.03288604,0.02206056,0.02206056,1.11132812,1.11132812,17.98437500,17.98437500,0.00000000,0.00000000,0.00000000,0.00000000
31,3.13027347,0.03468428,0.03468428,0.02429754,0.02429754,1.12402344,1.12402344,19.34375000,19.34375000,0.00000000,0.00000000,0.00000000,0.00000000
32,3.23121778,0.03689605,0.03689605,0.02660283,0.02660283,1.13769531,1.13769531,20.73437500,20.73437500,0.00000000,0.00000000,0.00000000,0.00000000
33,3.33216208,0.03968609,0.03968609,0.02900733,0.02900733,1.15136719,1.15136719,22.18750000,22.18750000,0.00000000,0.00000000,0.00000000,0.00000000
34,3.43310639,0.04315677,0.04315677,0.03154523,0.03154523,1.16601562,1.16601562,23.68750000,23.68750000,0.00000000,0.00000000,0.00000000,0.00000000
35,3.53405069,0.04733297,0.04733297,0.03424920,0.03424920,1.18261719,1.18261719,25.28125000,25.28125000,0.00000000,0.00000000,0.00000000,0.00000000
36,3.63499500,0.05216039,0.05216039,0.03714620,0.03714620,1.20019531,1.20019531,26.98437500,26.98437500,0.00000000,0.00000000,0.00000000,0.00000000
37,3.73593930,0.05750568,0.05750568,0.04025378,0.04025378,1.22070312,1.22070312,28.78125000,28.78125000,0.00000000,0.00000000,0.00000000,0.00000000
38,3.83688361,0.06317578,0.06317574,0.04357796,0.04357796,1.24218750,1.24218750,30.68750000,30.68750000,0.00000000,0.00000000,0.00000000,0.00000000
39,3.93782792,0.06892227,0.06892223,0.04711154,0.04711153,1.26464844,1.26464844,32.68750000,32.68750000,0.00000000,0.00000000,0.00000000,0.00000000
40,4.03877222,0.07446855,0.07446846,0.05083404,0.05083403,1.29003906,1.29003906,34.78125000,34.78125000,0.00000000,0.00000000,0.00000000,0.00000000
41,4.13971653,0.07951903,0.07951885,0.05471208,0.05471206,1.31738281,1.31738281,36.90625000,36.90625000,0.00000000,0.00000000,0.00000000,0.00000000
