"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
0.00100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.09017700,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.17935400,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.26853099,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.35770799,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.44688499,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.53606199,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.62523899,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000012,0.00000012,0.00000000,0.00000000,0.00000000,0.00000000
0.71441598,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000340,0.00000340,0.00000000,0.00000000,0.00000000,0.00000000
0.80359298,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00003260,0.00003260,0.00000000,0.00000000,0.00000000,0.00000000
0.89276998,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00018418,0.00018418,0.00000000,0.00000000,0.00000000,0.00000000
0.98194698,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00074100,0.00074100,0.00000000,0.00000000,0.00000000,0.00000000
1.07112398,0.00000001,0.00000001,0.00000000,0.00000000,1.00000000,1.00000000,0.00230026,0.00230026,0.00000000,0.00000000,0.00000000,0.00000000
1.16030097,0.00000005,0.00000005,0.00000001,0.00000001,1.00000000,1.00000000,0.00592804,0.00592804,0.00000000,0.00000000,0.00000000,0.00000000
1.24947797,0.00000021,0.00000021,0.00000004,0.00000004,1.00000000,1.00000000,0.01330566,0.01330566,0.00000000,0.00000000,0.00000000,0.00000000
1.33865497,0.00000077,0.00000077,0.00000014,0.00000014,1.00000000,1.00000000,0.02694702,0.02694702,0.00000000,0.00000000,0.00000000,0.00000000
1.42783197,0.00000236,0.00000236,0.00000044,0.00000044,1.00000000,1.00000000,0.05020142,0.05020142,0.00000000,0.00000000,0.00000000,0.00000000
1.51700897,0.00000635,0.00000635,0.00000118,0.00000118,1.00000000,1.00000000,0.08740234,0.08740234,0.00000000,0.00000000,0.00000000,0.00000000
1.60618596,0.00001541,0.00001540,0.00000290,0.00000289,1.00000000,1.00000000,0.14416504,0.14416504,0.00000000,0.00000000,0.00000000,0.00000000
1.69536296,0.00003411,0.00003410,0.00000648,0.00000648,1.00000000,1.00000000,0.22705078,0.22705078,0.00000000,0.00000000,0.00000000,0.00000000
1.78453996,0.00007008,0.00007004,0.00001349,0.00001348,1.00000000,1.00000000,0.34350586,0.34350586,0.00000000,0.00000000,0.00000000,0.00000000
1.87371696,0.00013486,0.00013479,0.00002632,0.00002631,1.00000000,1.00000000,0.50244141,0.50244141,0.00000000,0.00000000,0.00000000,0.00000000
1.96289396,0.00024493,0.00024482,0.00004858,0.00004856,1.00000000,1.00000000,0.71289062,0.71289062,0.00000000,0.00000000,0.00000000,0.00000000
2.05207095,0.00042217,0.00042200,0.00008527,0.00008523,1.00097656,1.00097656,0.98388672,0.98388672,0.00000000,0.00000000,0.00000000,0.00000000
2.14124795,0.00069345,0.00069318,0.00014303,0.00014297,1.00097656,1.00097656,1.32617188,1.32617188,0.00000000,0.00000000,0.00000000,0.00000000
2.23042495,0.00108902,0.00108863,0.00023012,0.00023002,1.00097656,1.00097656,1.74609375,1.74609375,0.00000000,0.00000000,0.00000000,0.00000000
2.31960195,0.00163956,0.00163905,0.00035618,0.00035605,1.00195312,1.00195312,2.25195312,2.25195312,0.00000000,0.00000000,0.00000000,0.00000000
2.40877895,0.00237111,0.00237045,0.00053175,0.00053157,1.00292969,1.00292969,2.84765625,2.84765625,0.00000000,0.00000000,0.00000000,0.00000000
2.49795594,0.00329991,0.00329913,0.00076736,0.00076712,1.00488281,1.00488281,3.53320312,3.53320312,0.00000000,0.00000000,0.00000000,0.00000000
2.58713294,0.00442642,0.00442554,0.00107251,0.00107222,1.00683594,1.00683594,4.30859375,4.30859375,0.00000000,0.00000000,0.00000000,0.00000000
2.67630994,0.00573092,0.00572998,0.00145443,0.00145407,1.00878906,1.00878906,5.17187500,5.17187500,0.00000000,0.00000000,0.00000000,0.00000000
2.76548694,0.00717215,0.00717120,0.00191698,0.00191656,1.01171875,1.01171875,6.10546875,6.10546875,0.00000000,0.00000000,0.00000000,0.00000000
2.85466394,0.00868805,0.00868712,0.00245980,0.00245932,1.01562500,1.01562500,7.10546875,7.10546875,0.00000000,0.00000000,0.00000000,0.00000000
2.94384093,0.01020302,0.01020211,0.00307795,0.00307742,1.01953125,1.01953125,8.14843750,8.14843750,0.00000000,0.00000000,0.00000000,0.00000000
3.03301793,0.01163714,0.01163621,0.00376226,0.00376167,1.02441406,1.02441406,9.23437500,9.23437500,0.00000000,0.00000000,0.00000000,0.00000000
3.12219493,0.01291887,0.01291785,0.00450025,0.00449960,1.02929688,1.02929688,10.32812500,10.32812500,0.00000000,0.00000000,0.00000000,0.00000000
3.21137193,0.01399692,0.01399569,0.00527761,0.00527690,1.03417969,1.03417969,11.42968750,11.42968750,0.00000000,0.00000000,0.00000000,0.00000000
